SITE_TYPE,SITECODE,NAME,VARIABLE,cle,VALUE,SCORE,LABEL,DATA_SRCE
SSSI,ASSI168,Glennasheevar,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI191,The Cliffs of Magho,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI380,Lough Formal,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI201,West Fermanagh Scarplands,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030300,West Fermanagh Scarplands,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI393,Lough Alaban,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI111,Largalinny,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030045,Largalinny,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI375,Marlbank,Mean CLe exceedance,1,0.0492672447368234,1,Low,2017 Ammonia Concentrations
SSSI,ASSI069,Cuilcagh Mountain,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0016603,Cuilcagh Mountain,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI207,Kilnameel,Mean CLe exceedance,1,0.26875,1,Low,2017 Ammonia Concentrations
SSSI,ASSI013,Monawilkin,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0016619,Monawilkin,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI357,Killeter Forest and Bogs and Lakes,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI324,Keadew,Mean CLe exceedance,1,0.21954,1,Low,2017 Ammonia Concentrations
SSSI,ASSI298,Blackslee,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI322,Drumbegger,Mean CLe exceedance,1,0.20813,1,Low,2017 Ammonia Concentrations
SSSI,ASSI016,Beagh Big,Mean CLe exceedance,1,0.72256,1,Low,2017 Ammonia Concentrations
SSSI,ASSI263,Cruninish Island,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI134,Essan Burn and Mullyfamore,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI378,Croagh Bog,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI376,Florence Court,Mean CLe exceedance,1,0.122264229888816,1,Low,2017 Ammonia Concentrations
SSSI,ASSI264,Hare Island,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI070,Tattenamona Bog,Mean CLe exceedance,1,0.725734421906694,1,Low,2017 Ammonia Concentrations
SSSI,ASSI269,Devenish Island,Mean CLe exceedance,1,0.278231895292838,1,Low,2017 Ammonia Concentrations
SAC,UK0016614,Upper Lough Erne,Mean CLe exceedance,1,0.558133345521564,1,Low,2017 Ammonia Concentrations
SSSI,ASSI300,Scraghy,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI093,Upper Lough Erne - Belleisle,Mean CLe exceedance,1,0.404883157626254,1,Low,2017 Ammonia Concentrations
SSSI,ASSI166,Knockninny Hill,Mean CLe exceedance,1,0.749747467646589,1,Low,2017 Ammonia Concentrations
SSSI,ASSI048,Corraslough Point,Mean CLe exceedance,1,0.340543299242424,1,Low,2017 Ammonia Concentrations
SSSI,ASSI094,Upper Lough Erne - Trannish,Mean CLe exceedance,1,0.534562004708256,1,Low,2017 Ammonia Concentrations
SSSI,ASSI350,Castlecoole,Mean CLe exceedance,1,0.839712471383341,1,Low,2017 Ammonia Concentrations
SSSI,ASSI015,Moninea Bog,Mean CLe exceedance,1,1.72889975479269,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030212,Moninea Bog,Mean CLe exceedance,1,1.72889975479269,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI005,Moneygal Bog,Mean CLe exceedance,1,0.91389760263558,1,Low,2017 Ammonia Concentrations
SSSI,ASSI209,Moneygal Bog Part II,Mean CLe exceedance,1,1.15600170505692,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030211,Moneygal Bog,Mean CLe exceedance,1,0.972483842853483,1,Low,2017 Ammonia Concentrations
SSSI,ASSI071,Upper Lough Erne - Crom,Mean CLe exceedance,1,0.583892826923077,1,Low,2017 Ammonia Concentrations
SSSI,ASSI054,Inishroosk,Mean CLe exceedance,1,0.47139892147855,1,Low,2017 Ammonia Concentrations
SSSI,ASSI276,Sloughan and Willmount Glens,Mean CLe exceedance,1,0.149258529524785,1,Low,2017 Ammonia Concentrations
SSSI,ASSI401,Drumowen,Mean CLe exceedance,1,0.11545,1,Low,2017 Ammonia Concentrations
SSSI,ASSI294,Lough Corr,Mean CLe exceedance,1,0.124548144329897,1,Low,2017 Ammonia Concentrations
SSSI,ASSI364,Tempo River,Mean CLe exceedance,1,1.64922496082621,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI274,Dunaree Hill,Mean CLe exceedance,1,0.206973534315626,1,Low,2017 Ammonia Concentrations
SSSI,ASSI008,Fairy Water Bogs,Mean CLe exceedance,1,0.99031534351145,1,Low,2017 Ammonia Concentrations
SAC,UK0016611,Fairy Water Bogs,Mean CLe exceedance,1,0.99031534351145,1,Low,2017 Ammonia Concentrations
SSSI,ASSI275,Kirlish,Mean CLe exceedance,1,1.14319,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI090,Upper Lough Erne - Galloon,Mean CLe exceedance,1,0.928884865121614,1,Low,2017 Ammonia Concentrations
SSSI,ASSI349,Baronscourt,Mean CLe exceedance,1,0.864118421760861,1,Low,2017 Ammonia Concentrations
SSSI,ASSI058,Strabane Glen,Mean CLe exceedance,1,1.98200767423649,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI128,McKean's Moss,Mean CLe exceedance,1,1.68765505628518,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI165,McKean's Moss Part II,Mean CLe exceedance,1,1.72244295774648,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI129,Tonnagh Beg Bog,Mean CLe exceedance,1,1.93417923850575,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030325,Tonnagh Beg Bog,Mean CLe exceedance,1,1.93417923850575,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI124,Cranny Bogs,Mean CLe exceedance,1,2.73427070705793,3,High,2017 Ammonia Concentrations
SAC,UK0030321,Cranny Bogs,Mean CLe exceedance,1,2.73427070705793,3,High,2017 Ammonia Concentrations
SSSI,ASSI110,Finn Floods,Mean CLe exceedance,1,2.07947529080119,3,High,2017 Ammonia Concentrations
SSSI,ASSI268,Round Lough and Lough Fadda,Mean CLe exceedance,1,1.98338718246293,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI130,Tully Bog,Mean CLe exceedance,1,2.00198687378641,3,High,2017 Ammonia Concentrations
SAC,UK0030326,Tully Bog,Mean CLe exceedance,1,2.00198687378641,3,High,2017 Ammonia Concentrations
SSSI,ASSI196,Grange Wood,Mean CLe exceedance,1,1.41947585526316,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI213,Owenkillew River,Mean CLe exceedance,1,0.737220561612951,1,Low,2017 Ammonia Concentrations
SAC,UK0030233,Owenkillew River,Mean CLe exceedance,1,0.766383495298721,1,Low,2017 Ammonia Concentrations
SSSI,ASSI014,Knockballymore Lough,Mean CLe exceedance,1,1.79835068686869,2,Moderate,2017 Ammonia Concentrations
SAC,UK0016621,Magheraveely Marl Loughs,Mean CLe exceedance,1,2.94619238406659,3,High,2017 Ammonia Concentrations
SSSI,ASSI081,Burdautien Lough,Mean CLe exceedance,1,3.28552378594249,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI078,Kilroosky Lough,Mean CLe exceedance,1,3.10591226489028,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI080,Summerhill Lough,Mean CLe exceedance,1,2.0394,3,High,2017 Ammonia Concentrations
SSSI,ASSI223,Cullentra Lough,Mean CLe exceedance,1,2.1835046260069,3,High,2017 Ammonia Concentrations
SSSI,ASSI197,Corbylin Wood,Mean CLe exceedance,1,1.26631989624506,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI062,Owenkillew and Glenelly Woods,Mean CLe exceedance,1,1.02879564553537,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI077,Slieve Beagh,Mean CLe exceedance,1,0.556700944088721,1,Low,2017 Ammonia Concentrations
SAC,UK0016622,Slieve Beagh,Mean CLe exceedance,1,0.556700944088721,1,Low,2017 Ammonia Concentrations
SSSI,ASSI195,Silverbrook Wood,Mean CLe exceedance,1,1.04615999138674,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI121,Annachullion Lough,Mean CLe exceedance,1,3.7260513830955,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI309,Mullaghcarn,Mean CLe exceedance,1,0.332442787544587,1,Low,2017 Ammonia Concentrations
SSSI,ASSI296,River Faughan and Tributaries,Mean CLe exceedance,1,0.780858449472618,1,Low,2017 Ammonia Concentrations
SAC,UK0030361,River Faughan and Tributaries,Mean CLe exceedance,1,0.758012116358938,1,Low,2017 Ammonia Concentrations
SSSI,ASSI122,Drumacrittin Lough,Mean CLe exceedance,1,3.85553987421384,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI392,Cloghcor Lough,Mean CLe exceedance,1,1.91546789528796,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI308,Annaghagh Bog,Mean CLe exceedance,1,2.04822567955716,3,High,2017 Ammonia Concentrations
SSSI,ASSI227,Bonds Glen,Mean CLe exceedance,1,0.810637448194198,1,Low,2017 Ammonia Concentrations
SSSI,ASSI261,Lough McCall,Mean CLe exceedance,1,1.12975,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI035,Deroran Bog,Mean CLe exceedance,1,1.42094508593337,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030324,Deroran Bog,Mean CLe exceedance,1,1.42094508593337,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI051,Lough Foyle,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI061,Ervey Wood,Mean CLe exceedance,1,0.702995043015158,1,Low,2017 Ammonia Concentrations
SSSI,ASSI398,Cavan,Mean CLe exceedance,1,0.912121800643087,1,Low,2017 Ammonia Concentrations
SSSI,ASSI056,Drumlea and Mullan Woods,Mean CLe exceedance,1,0.536320770361658,1,Low,2017 Ammonia Concentrations
SSSI,ASSI060,Ness Wood,Mean CLe exceedance,1,0.437298,1,Low,2017 Ammonia Concentrations
SSSI,ASSI262,Lough na blaney bane,Mean CLe exceedance,1,0.95055,1,Low,2017 Ammonia Concentrations
SSSI,ASSI237,Derrycloony Lough,Mean CLe exceedance,1,1.85966633254717,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI397,Roeveagh,Mean CLe exceedance,1,1.157792,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI224,Fymore Lough,Mean CLe exceedance,1,2.1699314159292,3,High,2017 Ammonia Concentrations
SSSI,ASSI348,Lough Macrory,Mean CLe exceedance,1,0.832717877018207,1,Low,2017 Ammonia Concentrations
SSSI,ASSI007,Black Bog,Mean CLe exceedance,1,0.371672475770446,1,Low,2017 Ammonia Concentrations
SAC,UK0016609,Black Bog,Mean CLe exceedance,1,0.371672475770445,1,Low,2017 Ammonia Concentrations
SSSI,ASSI057,Glenmore Wood,Mean CLe exceedance,1,2.05404333565946,3,High,2017 Ammonia Concentrations
SAC,UK0030360,River Roe and Tributaries,Mean CLe exceedance,1,0.712074585619122,1,Low,2017 Ammonia Concentrations
SAC,UK0030296,Upper Ballinderry River,Mean CLe exceedance,1,2.05493452939304,3,High,2017 Ammonia Concentrations
SSSI,ASSI407,Lough Lark,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI059,Altmover Glen,Mean CLe exceedance,1,0.814844044191496,1,Low,2017 Ammonia Concentrations
SSSI,ASSI239,Black Lough (Tyrone),Mean CLe exceedance,1,2.45306290964778,3,High,2017 Ammonia Concentrations
SSSI,ASSI064,Banagher Glen,Mean CLe exceedance,1,0.195900075404052,1,Low,2017 Ammonia Concentrations
SAC,UK0030083,Banagher Glen,Mean CLe exceedance,1,0.195900075404052,1,Low,2017 Ammonia Concentrations
SSSI,ASSI068,Magilligan,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0016613,Magilligan,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI146,Tullybrick Lough,Mean CLe exceedance,1,6.77511,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI342,Caledon and Tynan,Mean CLe exceedance,1,11.2625484389601,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI055,Crockaghole Wood,Mean CLe exceedance,1,0.224292559055118,1,Low,2017 Ammonia Concentrations
SSSI,ASSI011,Teal Lough and Slaghtfreeden Bogs,Mean CLe exceedance,1,0.167293199938669,1,Low,2017 Ammonia Concentrations
SSSI,ASSI228,Aghanloo Wood,Mean CLe exceedance,1,0.140139413119158,1,Low,2017 Ammonia Concentrations
SSSI,ASSI212,Binevenagh,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030089,Binevenagh,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI031,Kiltubbrid Loughs,Mean CLe exceedance,1,4.27047323115161,4,Very High,2017 Ammonia Concentrations
SAC,UK0016608,Teal Lough,Mean CLe exceedance,1,0.146071392079806,1,Low,2017 Ammonia Concentrations
SSSI,ASSI088,Teal Lough Part II,Mean CLe exceedance,1,0.161894234249713,1,Low,2017 Ammonia Concentrations
SSSI,ASSI307,Knocknacloy,Mean CLe exceedance,1,4.16789173553719,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI266,Ballyrisk More,Mean CLe exceedance,1,0.248057297297297,1,Low,2017 Ammonia Concentrations
SSSI,ASSI182,Drumcarn,Mean CLe exceedance,1,2.64312576309795,3,High,2017 Ammonia Concentrations
SSSI,ASSI183,Crossbane Lough,Mean CLe exceedance,1,2.55575622133599,3,High,2017 Ammonia Concentrations
SSSI,ASSI167,Carn/Glenshane Pass,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SAC,UK0030110,Carn  Glenshane Pass,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI371,Gortcorbies,Mean CLe exceedance,1,0.254124772151899,1,Low,2017 Ammonia Concentrations
SSSI,ASSI171,Altikeeragh,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI179,Straghans Lough,Mean CLe exceedance,1,2.36729735841424,3,High,2017 Ammonia Concentrations
SSSI,ASSI257,Ballymacallion,Mean CLe exceedance,1,0.337584253433761,1,Low,2017 Ammonia Concentrations
SSSI,ASSI259,Castle River Valley,Mean CLe exceedance,1,0.725085917266187,1,Low,2017 Ammonia Concentrations
SSSI,ASSI258,Smulgedon,Mean CLe exceedance,1,0.41505,1,Low,2017 Ammonia Concentrations
SSSI,ASSI267,Coolnasillagh,Mean CLe exceedance,1,0.086912561983471,1,Low,2017 Ammonia Concentrations
SSSI,ASSI208,Bann Estuary,Mean CLe exceedance,1,0.198925907225077,1,Low,2017 Ammonia Concentrations
SAC,UK0030084,Bann Estuary,Mean CLe exceedance,1,0.198925907225077,1,Low,2017 Ammonia Concentrations
SSSI,ASSI410,Knockadoo Wood,Mean CLe exceedance,1,2.9211721281959,3,High,2017 Ammonia Concentrations
SSSI,ASSI216,Tullyard,Mean CLe exceedance,1,2.67808,3,High,2017 Ammonia Concentrations
SSSI,ASSI194,Ballyknock,Mean CLe exceedance,1,0.846269040735874,1,Low,2017 Ammonia Concentrations
SSSI,ASSI205,Drumlougher Lough,Mean CLe exceedance,1,2.17484491935484,3,High,2017 Ammonia Concentrations
SSSI,ASSI256,Errigal Glen,Mean CLe exceedance,1,0.5670171679029,1,Low,2017 Ammonia Concentrations
SSSI,ASSI240,Drumcrow,Mean CLe exceedance,1,2.31101690288714,3,High,2017 Ammonia Concentrations
SSSI,ASSI010,Ballynahone Bog,Mean CLe exceedance,1,1.17100931208674,2,Moderate,2017 Ammonia Concentrations
SAC,UK0016599,Ballynahone Bog,Mean CLe exceedance,1,1.17100931208674,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI038,Annacramph Meadows,Mean CLe exceedance,1,3.08863566801619,4,Very High,2017 Ammonia Concentrations
SSSI,ASSI415,Tamnyrankin,Mean CLe exceedance,1,0.634266735905045,1,Low,2017 Ammonia Concentrations
SSSI,ASSI210,Peatlands Park,Mean CLe exceedance,1,1.63486752155692,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030236,Peatlands Park,Mean CLe exceedance,1,1.63486752155692,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI074,Curran Bog,Mean CLe exceedance,1,1.35388362179837,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030322,Curran Bog,Mean CLe exceedance,1,1.35388362179836,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI204,Lurgan Lough,Mean CLe exceedance,1,2.15435682237246,3,High,2017 Ammonia Concentrations
SSSI,ASSI030,Lough Neagh,Mean CLe exceedance,1,0.561899976881593,1,Low,2017 Ammonia Concentrations
SSSI,ASSI206,Loughaveely,Mean CLe exceedance,1,2.04685027027027,3,High,2017 Ammonia Concentrations
SSSI,ASSI189,Cashel Loughs,Mean CLe exceedance,1,1.4437313764946,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI180,Moyrourkan Lough,Mean CLe exceedance,1,2.65329567039106,3,High,2017 Ammonia Concentrations
SSSI,ASSI125,Dead Island Bog,Mean CLe exceedance,1,1.40277183180987,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030323,Dead Island Bog,Mean CLe exceedance,1,1.40277183180987,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI131,Wolf Island Bog,Mean CLe exceedance,1,1.41438143666977,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030303,Wolf Island Bog,Mean CLe exceedance,1,1.41437229187817,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI214,Levallymore,Mean CLe exceedance,1,1.83535460869565,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI222,Selshion,Mean CLe exceedance,1,1.98508479959667,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI305,Moneystaghan Bog,Mean CLe exceedance,1,1.27110474277703,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI215,Carrickastickan,Mean CLe exceedance,1,1.53958357333333,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI198,Slieve Gullion,Mean CLe exceedance,1,1.0237353181247,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030277,Slieve Gullion,Mean CLe exceedance,1,1.02373371267256,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI027,Lough Beg,Mean CLe exceedance,1,1.33570943791556,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI127,Garry Bog Part II,Mean CLe exceedance,1,0.923708614013521,1,Low,2017 Ammonia Concentrations
SAC,UK0016610,Garry Bog,Mean CLe exceedance,1,0.93427994771495,1,Low,2017 Ammonia Concentrations
SSSI,ASSI004,Garry Bog,Mean CLe exceedance,1,0.937090792613172,1,Low,2017 Ammonia Concentrations
SSSI,ASSI339,Brackagh Bog,Mean CLe exceedance,1,1.86578439576906,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI295,Lough Gullion,Mean CLe exceedance,1,1.3987050881632,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI202,Giant's Causeway and Dunseverick,Mean CLe exceedance,1,0.289645705651388,1,Low,2017 Ammonia Concentrations
SAC,UK0030224,North Antrim Coast,Mean CLe exceedance,1,0.376897877171255,1,Low,2017 Ammonia Concentrations
SSSI,ASSI221,Derryvore,Mean CLe exceedance,1,2.06929381165919,3,High,2017 Ammonia Concentrations
SSSI,ASSI372,Craigs,Mean CLe exceedance,1,1.18135113989637,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI409,Clermont & Anglesey Mountain,Mean CLe exceedance,1,0.783833075317043,1,Low,2017 Ammonia Concentrations
SSSI,ASSI238,Fathom Upper,Mean CLe exceedance,1,1.24409191176471,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI103,Carlingford Lough,Mean CLe exceedance,1,0.621736588198938,1,Low,2017 Ammonia Concentrations
SSSI,ASSI260,Ballymacaldrack,Mean CLe exceedance,1,1.08537,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI123,Caldanagh Bog,Mean CLe exceedance,1,1.49983408644401,2,Moderate,2017 Ammonia Concentrations
SAC,UK0030199,Main Valley Bogs,Mean CLe exceedance,1,1.61857034727068,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI390,Prolusk,Mean CLe exceedance,1,1.06511997827661,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI158,Greenan Lough,Mean CLe exceedance,1,1.77152877202643,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI079,Derryleckagh,Mean CLe exceedance,1,1.67840584855325,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI160,Greenan,Mean CLe exceedance,1,1.87833,2,Moderate,2017 Ammonia Concentrations
SAC,UK0016620,Derryleckagh,Mean CLe exceedance,1,1.67840584855325,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI009,Dunloy Bog,Mean CLe exceedance,1,1.46213584956659,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI107,White Park Bay,Mean CLe exceedance,1,0.600970180249009,1,Low,2017 Ammonia Concentrations
SSSI,ASSI157,Castle Enigan,Mean CLe exceedance,1,2.307145221843,3,High,2017 Ammonia Concentrations
SAC,UK0030214,Montiaghs Moss,Mean CLe exceedance,1,1.34304627334521,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI377,Shane's Castle,Mean CLe exceedance,1,1.34101701658999,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI126,Frosses Bog,Mean CLe exceedance,1,2.1028854021664,3,High,2017 Ammonia Concentrations
SSSI,ASSI217,Ballynanaghten,Mean CLe exceedance,1,2.21987458333333,3,High,2017 Ammonia Concentrations
SSSI,ASSI178,Rostrevor Wood,Mean CLe exceedance,1,0.292530066225166,1,Low,2017 Ammonia Concentrations
SAC,UK0030268,Rostrevor Wood,Mean CLe exceedance,1,0.292530066225165,1,Low,2017 Ammonia Concentrations
SSSI,ASSI303,Slieveanorra and Croaghan,Mean CLe exceedance,1,0.199022764344733,1,Low,2017 Ammonia Concentrations
SSSI,ASSI163,Tow River Wood,Mean CLe exceedance,1,0.905923307888041,1,Low,2017 Ammonia Concentrations
SAC,UK0030055,Rathlin Island,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI033,Rathlin Island - Coast,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI351,Western Mournes and Kilfeaghan Upper,Mean CLe exceedance,1,0.318008123029158,1,Low,2017 Ammonia Concentrations
SSSI,ASSI161,Breen Wood,Mean CLe exceedance,1,0.232958089825339,1,Low,2017 Ammonia Concentrations
SAC,UK0030097,Breen Wood,Mean CLe exceedance,1,0.23295808982534,1,Low,2017 Ammonia Concentrations
SSSI,ASSI356,Rathlin Island - Kebble,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI265,Rathsherry,Mean CLe exceedance,1,1.96209222003929,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI043,Rathlin Island - Ballygill North,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI067,Garron Plateau,Mean CLe exceedance,1,0.145936874914021,1,Low,2017 Ammonia Concentrations
SAC,UK0016606,Garron Plateau,Mean CLe exceedance,1,0.14593629524307,1,Low,2017 Ammonia Concentrations
SSSI,ASSI037,Lackan Bog,Mean CLe exceedance,1,2.13788601965602,3,High,2017 Ammonia Concentrations
SSSI,ASSI352,White Water River,Mean CLe exceedance,1,0.895337878545105,1,Low,2017 Ammonia Concentrations
SSSI,ASSI169,Leathemstown,Mean CLe exceedance,1,1.34050870011148,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI302,Carey Valley,Mean CLe exceedance,1,0.107664281538523,1,Low,2017 Ammonia Concentrations
SSSI,ASSI045,Rathlin Island - Ballycarry,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI063,Slievenacloy,Mean CLe exceedance,1,1.740638371278,2,Moderate,2017 Ammonia Concentrations
SSSI,ASSI330,Fair Head and Murlough Bay,Mean CLe exceedance,1,0,0,No exceedance,2017 Ammonia Concentrations
SSSI,ASSI095,Eastern Mournes,Mean CLe exceedance,1,0.179097062262897,1,Low,2017 Ammonia Concentrations
